x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,y
33060.424859,10921.815287,42.875200,42.875200,76.200000,140077.147826,0.000000,0.000000,0.000000,0.003264,-0.003248,-31.523104,167.000000,260.000000,97.000000,1.000000,0.562667,1.777251,0.236016,1.304492,0.642308,2.680412,0.580838,0.000000
6360.131449,3562.324728,17.780000,17.780000,85.344000,26979.662233,0.000000,0.000000,0.000000,0.001255,-0.003109,-29.281252,211.000000,318.000000,110.000000,1.000000,0.208333,4.800000,0.235738,1.063076,0.663522,2.890909,0.521327,0.000000
729.108040,1125.225716,76.200000,9.220200,9.220200,6477.921117,0.000000,0.000000,0.000000,-6.502687,-0.003324,0.000712,251.000000,384.000000,137.000000,8.264463,1.000000,0.121000,0.112553,0.755099,0.653646,2.802920,0.545817,0.000000
158.865596,384.168077,5.562600,5.562600,33.660312,1041.534889,0.000000,-0.000000,-0.000000,-0.002441,0.000085,-11.939282,223.000000,348.000000,128.000000,1.000000,0.165257,6.051183,0.152530,0.947580,0.640805,2.718750,0.573991,0.000000
1778.002107,1559.142172,46.024800,11.906233,11.906233,6524.401604,0.000000,-0.000000,-0.000000,3.488858,-0.000329,0.001461,1370.000000,2062.000000,696.000000,3.865605,1.000000,0.258692,0.272516,1.259686,0.664403,2.962644,0.508029,0.000000
5630.744862,4270.915380,21.400232,21.400232,81.483200,37316.855003,0.000000,0.000000,0.000000,0.417798,0.962505,-29.087488,251.000000,383.000000,137.000000,1.000000,0.262634,3.807585,0.150890,1.082481,0.655352,2.795620,0.545817,0.000000
154.094454,250.277282,6.350000,6.350000,13.493750,544.101777,0.000000,0.000000,0.000000,-0.000027,-0.000154,2.682890,590.000000,937.000000,352.000000,1.000000,0.470588,2.125000,0.283209,1.182265,0.629669,2.661932,0.596610,0.000000
3592.907419,2746.625619,13.081000,13.081000,108.077000,18493.332289,0.000000,-0.000000,-0.000000,-0.000072,0.001749,-41.796767,214.000000,323.000000,112.000000,1.000000,0.121034,8.262136,0.194281,0.915962,0.662539,2.883929,0.523364,0.000000
4957.584591,3401.582400,21.437600,21.437600,50.800000,23346.191335,0.000000,-0.000000,-0.000000,0.000104,0.001495,3.419848,183.000000,284.000000,104.000000,1.000000,0.422000,2.369668,0.212351,1.289636,0.644366,2.730769,0.568306,0.000000
200.068309,492.222038,4.762500,5.459967,30.162500,784.318397,0.000000,0.000000,0.000000,-0.019864,-0.168359,6.536668,238.000000,364.000000,131.000000,0.872258,0.181018,6.333333,0.255086,1.472228,0.653846,2.778626,0.550420,0.000000
1194.028204,1032.974857,9.524966,9.524966,49.212500,4464.803173,0.000000,0.000000,0.000000,-0.000308,-0.000391,-3.742943,579.000000,872.000000,296.000000,1.000000,0.193548,5.166685,0.267431,1.004625,0.663991,2.945946,0.511226,0.000000
1753.454602,2098.197300,61.925200,16.992600,16.992600,17880.805868,0.000000,0.000000,0.000000,-4.968901,-0.000531,-0.000732,170.000000,261.000000,95.000000,3.644245,1.000000,0.274405,0.098064,0.876700,0.651341,2.747368,0.558824,0.000000
192.192505,426.492553,28.575000,8.813800,8.813800,2219.793746,0.000000,0.000000,0.000000,-3.430766,-0.001936,0.000672,151.000000,232.000000,85.000000,3.242075,1.000000,0.308444,0.086581,0.733572,0.650862,2.729412,0.562914,0.000000
1229.047122,1116.130355,16.662400,16.662400,19.050000,5288.957736,0.000000,-0.000000,-0.000000,0.001776,0.000021,2.745421,86.000000,138.000000,55.000000,1.000000,0.874667,1.143293,0.232380,1.223193,0.623188,2.509091,0.639535,0.000000
134576.255966,26429.206853,38.100000,38.100000,245.268750,356034.574216,0.000000,-0.000000,-0.000000,0.005057,-0.002973,16.399205,105.000000,160.000000,58.000000,1.000000,0.155340,6.437500,0.377986,1.312203,0.656250,2.758621,0.552381,0.000000
11043.383419,5001.143158,19.050000,19.050000,88.900000,32262.033000,0.000000,0.000000,0.000000,-0.010921,0.002147,10.629172,173.000000,262.000000,92.000000,1.000000,0.214286,4.666667,0.342303,1.333641,0.660305,2.847826,0.531792,0.000000
3216.103624,2569.200076,19.050000,19.050000,44.450000,16131.016536,0.000000,-0.000000,-0.000000,-0.000784,-0.000996,12.216755,1040.000000,1949.000000,912.000000,1.000000,0.428571,2.333333,0.199374,1.249339,0.533607,2.137061,0.876923,0.000000
1523.085440,1186.033219,24.669750,14.468227,12.700000,4532.979997,6.715125,0.000000,0.000000,3.223399,0.003240,-0.001768,153.000000,235.000000,91.000000,1.705098,1.139230,0.514801,0.336001,1.388830,0.651064,2.582418,0.594771,0.000000
1921.423242,1566.710691,54.832250,12.659699,11.112500,7713.850703,23.383875,0.000000,0.000000,18.564381,-0.003377,0.002690,211.000000,335.000000,133.000000,4.331244,1.139230,0.202664,0.249087,1.084856,0.629851,2.518797,0.630332,0.000000
6580.521863,4594.971081,22.225000,22.225000,71.437500,35286.598507,-0.000000,-0.000000,-0.000000,0.003166,-0.001918,16.329876,1281.000000,2407.000000,1129.000000,1.000000,0.311111,3.214286,0.186488,1.252258,0.532198,2.131975,0.881343,0.000000
1618.874061,1868.496789,88.900000,11.125200,11.125200,11003.159683,0.000000,0.000000,0.000000,-7.858998,-0.000467,0.002822,187.000000,287.000000,103.000000,7.990868,1.000000,0.125143,0.147128,0.888985,0.651568,2.786408,0.550802,0.000000
